"Regions","CATEGORY","ITEM","UNIT","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP"
"Markets","CATEGORY","ITEM","UNIT","Shewa- Bench ","Mizan- Teferi ","Deri","Amaro Kele ","Soyama","Karate","Gidola","Tercha","Besite- chere ","Lasoka","Amaya"
"17","POTATOES, OTHER TUBERS AND STEMS","'Bula'","Kg ","-","29.29","-","7.88","11.66","-","7.14","-","-","15.97","-"
"18","POTATOES, OTHER TUBERS AND STEMS","Tea Leaves(Local)","100gm ","10.00","9.65","13.28","12.50","12.50","12.07","12.82","10.32","15.00","12.50","10.00"
"19","POTATOES, OTHER TUBERS AND STEMS","Coffee Whole","Kg ","-","19.31","28.77","22.14","23.47","-","17.83","9.01","-","8.94","-"
"20","POTATOES, OTHER TUBERS AND STEMS","Coffee Beans","Kg ","53.92","45.00","60.00","52.27","58.28","45.00","45.00","55.00","49.32","58.28","48.99"
"21","POTATOES, OTHER TUBERS AND STEMS","Coffee Leaves","Kg ","-","-","-","-","-","5.02","5.22","-","-","-","-"
"22","POTATOES, OTHER TUBERS AND STEMS","Buck Thorn Leaves","Kg ","-","17.33","-","-","-","10.19","-","-","-","10.87","12.56"
"23","POTATOES, OTHER TUBERS AND STEMS","'Chat'","Kg ","-","-","-","-","-","52.17","38.74","42.31","33.35","46.18","34.57"
"1","P R I C E   I N    B I R R","Malt-Barley","Kg ","-","15.00","18.23","-","-","-","-","-","-","8.23","-"
"2","P R I C E   I N    B I R R","Malt-Wheat","Kg ","-","20.00","-","-","-","-","-","-","-","-","-"
"3","OTHER FOOD ITEMS","Salt","Kg ","6.00","6.00","5.00","5.48","6.00","5.31","5.31","5.00","5.00","5.65","6.00"
"4","OTHER FOOD ITEMS","Sugar","Kg ","17.00","17.00","18.00","25.33","16.50","15.00","16.00","17.50","17.62","17.50","17.00"
"5","OTHER FOOD ITEMS","Honey","Kg ","-","50.00","-","-","60.00","-","-","-","-","-","-"
"6","OTHER FOOD ITEMS","Canned Tomato (Local)","410gm ","-","30.00","-","22.03","-","-","-","25.66","-","-","-"
"7","OTHER FOOD ITEMS","Dry Yeast(Baking powder)","350gm ","-","140.00","105.00","-","87.50","-","105.00","35.00","35.00","-","70.00"
"8","FOOD TAKEN AWAY FROM HOME","Cup of Tea","No ","1.00","2.00","1.00","1.00","1.00","1.00","1.14","1.00","1.00","1.00","1.00"
"9","FOOD TAKEN AWAY FROM HOME","Cup of Coffee","No ","2.00","3.30","2.00","2.00","2.29","3.30","2.29","2.00","2.00","2.00","3.00"
"10","FOOD TAKEN AWAY FROM HOME","Cup of Milk","No ","6.00","5.31","-","-","4.00","-","4.00","-","3.00","-","-"
"11","FOOD TAKEN AWAY FROM HOME","'Key Wot Yebere'","One Meal ","-","-","-","25.00","23.21","20.00","20.00","25.00","20.00","20.00","-"
"12","FOOD TAKEN AWAY FROM HOME","'Key Wot Yebeg/Yefyel'","One Meal ","20.00","30.00","-","24.31","22.36","-","-","25.00","20.00","20.00","19.31"
"13","FOOD TAKEN AWAY FROM HOME","'Yebeg Tibs'","One Meal ","25.00","31.58","-","30.00","28.23","-","-","31.28","25.66","28.23","22.96"
"14","FOOD TAKEN AWAY FROM HOME","'Fasting Meal Without fish","One Meal ","13.00","19.56","-","10.00","10.00","13.10","11.29","13.92","10.00","12.00","-"
"15","FOOD TAKEN AWAY FROM HOME","'Yebeg Kikil'","One Meal ","20.00","28.23","-","25.25","26.21","30.00","-","25.00","-","20.00","18.97"
"16","COST OF MILLING","Cereals","100Kg ","40.00","25.00","-","50.00","69.62","30.00","28.23","30.00","70.00","50.00","33.25"
"17","COST OF MILLING","Pulses","100Kg ","80.00","50.00","20.00","50.00","-","-","28.23","40.00","70.00","50.00","29.58"
"18","COST OF MILLING","Pepper Whole","100Kg ","181.71","200.00","-","-","-","-","-","200.00","-","-","-"
"1","BEVERAGES - NON ALCOHOLIC","Ambo Mineral Water","500cc ","8.00","9.00","5.00","8.00","8.42","8.42","8.05","8.00","-","10.53","8.94"
"2","BEVERAGES - NON ALCOHOLIC","Mineral Water","Lt ","10.00","10.00","10.00","7.50","10.00","10.00","9.65","10.00","9.65","10.00","-"
"3","BEVERAGES - NON ALCOHOLIC","Coca Cola/Fanta","300cc ","8.00","9.00","7.00","8.00","8.00","7.65","7.65","8.00","8.00","8.32","9.28"
"4","BEVERAGES - NON ALCOHOLIC","Pepsi Cola/Mirinda","300cc ","8.00","9.00","8.00","8.00","8.00","7.65","7.65","8.00","8.00","8.32","9.28"
