"Regions","CATEGORY","ITEM","UNIT","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa"
"Markets","CATEGORY","ITEM","UNIT","Mota","Debre- markos ","Dembecha","Bahir- Dar ","Sekota","Amde Work ","Danigla","Chagni","Kemise","Bati"
"21","FRUITS FRESH","Avocado","Kg ","-","15.00","8.22","10.63","12.00","-","12.00","8.12","20.00","-"
"22","FRUITS FRESH","Mango","Kg ","20.00","15.00","6.68","12.00","12.00","-","10.00","7.60","15.00","20.00"
"23","FRUITS FRESH","Cactus","Kg ","-","-","-","-","8.62","-","-","-","2.85","-"
"1","SPICES","Pepper Whole","Kg ","28.65","25.66","20.65","27.33","34.66","35.00","-","25.66","35.00","36.00"
"2","SPICES","Black Pepper(Local)","Kg ","280.00","186.43","240.00","236.62","-","-","-","220.00","228.94","222.67"
"3","SPICES","Long Pepper(Local)","Kg ","64.87","69.33","80.00","70.99","70.00","80.00","68.29","70.00","-","76.52"
"4","SPICES","White Cumin(Bishop's Weed)Local","Kg ","27.93","30.61","29.22","24.33","30.00","-","24.99","23.21","36.59","24.76"
"5","SPICES","Black Cumin(Local)","Kg ","25.96","34.65","30.65","29.32","30.33","40.00","27.66","30.00","40.00","30.97"
"6","SPICES","Ginger Dry(Local)","Kg ","-","30.61","28.65","-","30.00","40.00","-","-","31.58","36.34"
"7","SPICES","Ginger Wet(Local)","Kg ","6.00","8.00","7.00","6.32","10.97","15.00","6.32","7.00","8.00","8.00"
"8","SPICES","Cloves(Imported)","Kg ","300.00","266.50","309.89","319.97","354.96","-","334.66","300.00","339.70","279.52"
"9","SPICES","Cinnamon(Imported)","Kg ","66.63","66.00","80.00","70.66","70.00","-","72.46","71.63","70.00","69.33"
"10","SPICES","Cardamon(Local)","Kg ","90.00","106.56","116.57","113.24","98.30","110.00","100.00","110.00","130.00","118.31"
"11","SPICES","Tumeric Flour(Local)","Kg ","-","11.29","13.30","10.32","20.33","20.00","10.00","10.00","20.00","20.00"
"12","SPICES","Chillies Whole","Kg ","-","-","-","52.63","-","-","-","30.00","30.00","25.84"
"13","SPICES","Basil Dry","Kg ","26.21","30.00","30.86","24.33","33.37","-","20.00","33.02","43.09","45.55"
"14","POTATOES, OTHER TUBERS AND STEMS","Potato","Kg ","4.31","4.00","5.00","4.00","6.83","8.00","4.31","4.31","9.24","7.65"
"15","POTATOES, OTHER TUBERS AND STEMS","Sweet Potato","Kg ","-","-","-","-","-","-","6.00","-","4.45","3.69"
"16","POTATOES, OTHER TUBERS AND STEMS","'Kocho' (Unprocessed)","Kg ","-","-","-","-","-","-","-","-","-","-"
"17","POTATOES, OTHER TUBERS AND STEMS","'Bula'","Kg ","-","-","-","70.66","-","-","-","-","-","-"
