"Regions","CATEGORY","ITEM","UNIT","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA"
"Markets","CATEGORY","ITEM","UNIT","Nazareth","Shashe-","Diksise","Asella","Asebe- Teferi ","Bedessa","Alemaya","Boreda","Adaba","Robe","Hagere- Mariam ","Negele- Borena "
"3","BEVERAGES - NON ALCOHOLIC","Coca Cola/Fanta","300cc ","6.65","7.00","7.00","7.00","6.00","7.00","7.00","5.65","8.00","6.65","8.00","8.00"
"4","BEVERAGES - NON ALCOHOLIC","Pepsi Cola/Mirinda","300cc ","6.65","7.00","5.28","7.00","7.00","7.00","7.00","6.00","8.00","6.65","8.00","8.00"
"5","BEVERAGES - ALCOHOLIC","Araki (Local)","900cc ","70.00","83.30","70.83","63.29","78.30","63.29","88.30","90.00","91.64","81.63","60.00","75.00"
"6","BEVERAGES - ALCOHOLIC","Cognac (Local)","900cc ","70.00","83.30","70.83","63.29","78.30","65.00","-","-","91.64","81.63","-","-"
"7","BEVERAGES - ALCOHOLIC","Brandy (Local)","900cc ","70.00","83.30","70.83","63.29","78.30","-","-","-","91.64","81.63","-","-"
"8","BEVERAGES - ALCOHOLIC","Gin (Local)","900cc ","70.00","83.30","69.22","63.29","78.30","63.29","88.30","84.90","91.64","81.63","60.00","75.00"
"9","BEVERAGES - ALCOHOLIC","Saris Wine (Normal)","750cc ","41.77","45.00","48.27","39.32","40.00","45.00","46.95","52.44","55.00","38.26","45.00","45.00"
"10","BEVERAGES - ALCOHOLIC","'Katikalla'","Lt ","38.26","28.60","30.65","40.00","39.09","24.72","30.55","27.03","26.62","26.31","28.08","24.00"
"11","BEVERAGES - ALCOHOLIC","Beer (Bedele)","330cc ","10.66","-","12.00","-","-","-","-","-","14.00","-","10.00","11.00"
"12","BEVERAGES - ALCOHOLIC","Beer (Harar)","330cc ","10.66","11.00","12.00","10.00","10.00","10.00","10.00","10.00","12.00","10.00","10.00","11.00"
"13","BEVERAGES - ALCOHOLIC","Beer (Meta Abo)","330cc ","10.66","11.00","12.00","10.00","10.49","11.00","12.00","-","12.00","10.00","10.00","11.00"
"14","BEVERAGES - ALCOHOLIC","'Tella'","Lt ","3.53","3.53","2.83","3.53","5.00","3.33","3.53","8.33","5.64","3.62","3.66","3.45"
"15","BEVERAGES - ALCOHOLIC","'Tej' (Mead)","Lt ","8.00","8.00","8.00","8.00","8.00","10.00","-","-","11.36","6.31","7.69","9.28"
"16","CIGARETTES","Nyala","Packet ","10.00","8.00","10.00","10.00","10.00","10.00","10.00","10.00","10.00","9.83","13.33","11.01"
"17","CIGARETTES","Gissila","Packet ","-","-","3.00","-","-","-","-","-","-","-","-","-"
"18","CIGARETTES","Rothmans/England/","Packet ","30.00","31.97","-","20.00","-","-","-","-","-","-","40.00","-"
"19","CIGARETTES","Marlboro","Packet ","30.00","-","-","-","-","-","-","-","-","-","-","-"
"1","TOBACCO","'Gaya'","Kg ","-","-","-","-","-","-","-","-","-","-","11.11","-"
"2","CLOTHING","Abujedid(Akaki/Bahir Dar)91cm","Meter ","-","-","-","-","20.82","18.68","19.31","17.00","-","-","-","28.98"
"3","CLOTHING","Abujedid(Komb",")150cm Meter ","34.32","20.65","45.00","22.96","31.96","-","30.00","-","30.00","37.42","32.66","35.00"
"4","CLOTHING","Khaki(S-10,000 Twil)150cm","Meter ","65.00","55.00","-","65.00","-","-","-","-","-","-","-","-"
"5","CLOTHING","Khaki(Akaki)","Meter ","-","-","-","-","-","-","-","-","-","-","-","-"
"6","CLOTHING","Wool-England 100%","Meter ","589.83","-","-","500.00","-","-","-","-","-","-","-","-"
"7","CLOTHING","Tetron(A","Meter ","73.29","65.00","-","65.00","-","-","-","-","-","-","-","-"
"8","CLOTHING","Poplin(Dire Dawa)105cm","Meter ","35.99","29.32","-","23.96","-","-","-","-","35.00","-","-","-"
"9","CLOTHING","Poplin(Komb","Meter ","49.32","43.27","-","45.00","-","-","-","-","65.00","60.00","-","55.00"
"10","CLOTHING","Nylon(Mojo)","Meter ","-","35.00","-","-","-","-","-","-","-","35.00","-","36.47"
"11","CLOTHING","Polyster(Arba Minch/Awasa)","Meter ","65.00","65.00","-","55.00","-","-","-","-","70.00","-","-","-"
"12","CLOTHING","Jersi","Meter ","67.64","44.33","-","55.00","-","-","54.85","-","55.00","61.62","-","-"
