"Regions","CATEGORY","ITEM","UNIT","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS"
"Markets","CATEGORY","ITEM","UNIT","Merkato","Kera","Zenebe work ","Gergi","Saris","Kotebe","Ferensay Legasion ","Shola","Asko","Addisu- Gebeya ","Efoyita Gebeya ","Akaki"
"21","FRUITS FRESH","Avocado","Kg ","12.00","11.29","11.29","10.00","12.00","10.00","14.66","12.63","12.97","12.00","13.61","12.00"
"22","FRUITS FRESH","Mango","Kg ","14.66","12.32","12.00","12.00","13.30","10.00","13.00","15.00","12.66","13.92","13.61","14.00"
"23","FRUITS FRESH","Cactus","Kg ","10.00","-","-","10.00","10.00","-","10.32","10.00","-","10.00","-","10.00"
"1","SPICES","Pepper Whole","Kg ","34.66","38.00","33.65","33.97","31.32","35.00","36.33","35.00","37.32","35.00","35.00","35.66"
"2","SPICES","Black Pepper(Local)","Kg ","240.00","243.29","248.00","260.00","273.17","246.49","280.00","231.46","300.00","280.00","280.00","240.00"
"3","SPICES","Long Pepper(Local)","Kg ","74.57","96.55","-","80.00","-","-","-","120.00","-","-","-","-"
"4","SPICES","White Cumin(Bishop's Weed)Local","Kg ","40.00","43.27","56.46","48.00","40.00","40.00","50.00","40.00","40.00","40.00","40.00","42.51"
"5","SPICES","Black Cumin(Local)","Kg ","40.00","45.00","56.46","48.00","40.00","40.00","50.00","40.00","50.00","50.66","40.00","48.66"
"6","SPICES","Ginger Dry(Local)","Kg ","40.00","40.00","40.00","40.00","40.00","-","43.82","40.00","40.00","43.82","42.51","42.51"
"7","SPICES","Ginger Wet(Local)","Kg ","8.00","10.00","10.00","10.63","13.30","10.00","10.00","11.29","11.29","10.00","10.00","12.00"
"8","SPICES","Cloves(Imported)","Kg ","320.00","306.52","346.41","379.47","363.42","320.00","300.00","400.00","400.00","368.78","400.00","320.00"
"9","SPICES","Cinnamon(Imported)","Kg ","77.95","90.00","100.00","100.00","80.00","80.00","100.00","77.24","100.00","86.18","80.00","80.00"
"10","SPICES","Cardamon(Local)","Kg ","112.92","120.00","120.00","120.00","113.24","117.32","126.58","103.96","103.23","120.00","120.00","120.00"
"11","SPICES","Tumeric Flour(Local)","Kg ","40.00","36.34","40.00","40.00","30.65","32.00","50.00","40.00","31.32","30.00","37.13","40.00"
"12","SPICES","Chillies Whole","Kg ","42.51","50.00","40.00","38.62","48.63","56.99","55.57","40.00","40.00","40.00","31.32","50.63"
"13","SPICES","Basil Dry","Kg ","40.00","45.00","40.00","41.29","40.00","38.62","50.00","40.00","50.00","50.66","40.00","48.00"
"14","POTATOES, OTHER TUBERS AND STEMS","Potato","Kg ","4.16","5.00","4.00","5.13","5.31","3.00","5.00","5.65","5.00","4.00","4.00","4.16"
"15","POTATOES, OTHER TUBERS AND STEMS","Sweet Potato","Kg ","5.57","4.27","4.59","-","5.72","7.78","6.57","5.27","-","-","4.62","5.37"
"16","POTATOES, OTHER TUBERS AND STEMS","'Kocho' (Unprocessed)","Kg ","25.00","-","18.13","25.00","22.33","26.00","-","29.32","24.00","-","18.07","24.00"
"17","POTATOES, OTHER TUBERS AND STEMS","'Bula'","Kg ","25.00","30.00","30.00","25.00","24.00","26.00","30.00","40.00","26.00","-","24.00","30.00"
"18","POTATOES, OTHER TUBERS AND STEMS","Tea Leaves(Local)","100gm ","10.00","11.04","10.82","12.50","11.25","10.00","10.82","11.25","12.50","11.25","10.40","11.65"
"19","POTATOES, OTHER TUBERS AND STEMS","Coffee Whole","Kg ","35.00","-","-","-","-","-","-","-","37.42","-","40.00","-"
"20","POTATOES, OTHER TUBERS AND STEMS","Coffee Beans","Kg ","66.63","65.00","61.62","68.29","73.29","64.33","71.63","80.00","66.63","71.63","69.88","73.29"
"21","POTATOES, OTHER TUBERS AND STEMS","Coffee Leaves","Kg ","50.00","-","-","-","-","-","-","-","-","-","-","-"
"22","POTATOES, OTHER TUBERS AND STEMS","Buck Thorn Leaves","Kg ","27.79","39.93","39.51","42.26","43.29","34.99","53.99","45.12","42.98","32.74","-","42.31"
"23","POTATOES, OTHER TUBERS AND STEMS","'Chat'","Kg ","110.40","85.11","108.82","124.98","33.61","110.71","106.02","77.74","129.54","113.97","124.21","101.62"
"1","P R I C E   I N    B I R R","Malt-Barley","Kg ","15.09","20.09","14.72","12.25","21.93","16.22","33.41","22.19","18.41","18.26","-","18.40"
"2","P R I C E   I N    B I R R","Malt-Wheat","Kg ","13.48","18.39","13.13","12.98","22.26","16.59","28.97","23.22","16.50","17.79","-","15.44"
"3","OTHER FOOD ITEMS","Salt","Kg ","4.50","4.50","4.50","4.50","4.33","4.16","4.50","4.00","4.16","4.50","4.00","4.50"
"4","OTHER FOOD ITEMS","Sugar","Kg ","14.50","14.50","14.50","14.50","14.50","14.50","14.50","14.50","14.50","14.50","14.50","14.50"
"5","OTHER FOOD ITEMS","Honey","Kg ","81.63","-","70.00","70.00","76.99","70.00","94.87","75.00","72.46","71.63","70.00","-"
"6","OTHER FOOD ITEMS","Canned Tomato (Local)","410gm ","20.00","25.00","23.00","25.00","23.66","22.00","-","24.00","23.31","-","20.65","22.66"
