"Regions","CATEGORY","ITEM","UNIT","GAMBELLA","GAMBELLA","GAMBELLA","DIREDAWA","DIREDAWA"
"Markets","CATEGORY","ITEM","UNIT","Gambella","Shebo- kire ","Meti","Dire Dawa ","Melka- Jebdu "
"17","READY-MADE / FOR ADULTS","Tetron Trouser","No ","-","-","-","-","-"
"18","READY-MADE / FOR ADULTS","Leather Jacket","No ","-","-","-","1600.00","-"
"19","READY-MADE / FOR ADULTS","Under Wear China","No ","-","-","-","-","77.46"
"20","READY-MADE / FOR ADULTS","Polyester Suit","No ","-","-","-","-","-"
"21","READY-MADE / FOR ADULTS","Khaki Short ","No ","-","-","-","-","-"
"22","READY-MADE / FOR ADULTS","T-Shirts ","No ","223.28","153.26","140.00","173.55","123.24"
"23","READY-MADE / FOR ADULTS","Jogging Suit(sport tuta) ","No ","-","-","-","381.62","383.30"
"24","READY-MADE / FOR ADULTS","Khaki Jacket ","No ","-","-","-","374.44","-"
"25","READY-MADE / FOR ADULTS","Geldem ","No ","79.90","-","80.00","115.98","111.64"
"26","READY-MADE / FOR ADULTS","Mekremia","No ","-","-","-","119.72","128.31"
"27","READY-MADE / FOR ADULTS","Polyester skirt","No ","-","-","-","-","-"
"28","READY-MADE / FOR ADULTS","Pants(for men)","No ","52.44","50.00","40.00","31.22","30.00"
"1","READY-MADE / FOR CHILDREN","Sweater (Local) for Boys","No ","-","-","-","-","-"
"2","READY-MADE / FOR CHILDREN","Socks (Imported) Cotton","Pair ","15.00","-","10.00","14.30","15.00"
"3","READY-MADE / FOR CHILDREN","Jeans Trouser","No ","-","-","250.00","-","283.06"
"4","READY-MADE / FOR CHILDREN","Shirt Long Sleeved(Imported)Boys","No ","-","-","-","130.38","136.58"
"5","READY-MADE / FOR CHILDREN","Sweater (England) for Girls","No ","-","-","-","199.75","-"
"6","READY-MADE / FOR CHILDREN","Kemise(for childeren) ","No ","-","-","-","329.60","439.92"
"7","READY-MADE / FOR CHILDREN","Baby Cloths(Complete)","No ","-","-","-","74.09","96.64"
"8","READY-MADE / FOR CHILDREN","T-Shirt","No ","-","-","-","94.05","112.92"
"9","READY-MADE / FOR CHILDREN","Jeans trouser and Jacket","No ","-","-","-","333.10","-"
"10","FOOTWEAR (MEN AND WOMEN)","Anbessa Leather Shoes Men(Local)Pair ","Anbessa Leather Shoes Men(Local)Pair ","-","250.00","-","291.32","450.00"
"11","FOOTWEAR (MEN AND WOMEN)","Leather Shoes Men (Croft)","Pair ","-","-","-","-","-"
"12","FOOTWEAR (MEN AND WOMEN)","Walking Shoes(Imp",") Non-Leather Pair ","353.30","-","-","266.37","-"
"13","FOOTWEAR (MEN AND WOMEN)","Canvas Shoes (Local) Men","Pair ","-","-","-","-","-"
"14","FOOTWEAR (MEN AND WOMEN)","Canvas Shoes (China) Men","Pair ","120.00","-","-","144.91","-"
"15","FOOTWEAR (MEN AND WOMEN)","Plastic Shoes (Local) Women","Pair ","33.25","37.42","15.00","16.28","19.31"
"16","FOOTWEAR (MEN AND WOMEN)","Slippers Sponge Adult (China)","Pair ","35.00","40.00","35.00","27.46","30.00"
