"Regions","CATEGORY","ITEM","UNIT","SOMALIE","SOMALIE","SOMALIE","SOMALIE","SOMALIE","SOMALIE"
"Markets","CATEGORY","ITEM","UNIT","Shinile","Arere","Jigjiga","Hartshek","Dolo","Moyale"
"11","CONSTRUCTION MATERIALS","Hollow Concrete Block(15x20x40 cm Cub","Hollow Concrete Block(15x20x40 cm Cub","-","8.00","-","-","-","-"
"12","CONSTRUCTION MATERIALS","Bricks (25cm x 12cm x 6cm)","","-","-","-","-","-","-"
"13","CONSTRUCTION MATERIALS","Floor Board 4m Length","","-","-","278.66","-","-","-"
"14","CONSTRUCTION MATERIALS","Iron Pipe 6mt","","-","-","-","-","400.00","-"
"15","CONSTRUCTION MATERIALS","Chipwood (125cm x 250cm x 8mm)","","-","-","-","-","-","-"
"16","CONSTRUCTION MATERIALS","Sand","Meter ","-","-","163.05","-","-","-"
"17","CONSTRUCTION MATERIALS","Gutter Nº 33","M","-","-","-","-","-","-"
"18","CONSTRUCTION MATERIALS","Window Glass (50cm x 50cm x 3mm)","","-","-","-","-","-","-"
"19","CONSTRUCTION MATERIALS","Water Tanker,Roto (1 meter cube)","","-","-","-","-","-","-"
"20","CONSTRUCTION MATERIALS","Stone for House Construction","Meter ","-","-","246.62","-","-","-"
"21","CONSTRUCTION MATERIALS","Mega Paints","","-","142.86","160.00","-","-","-"
"22","CONSTRUCTION MATERIALS","Nefas seleke Paints","","-","-","160.00","-","-","-"
"23","CONSTRUCTION MATERIALS","\"Yewellel Nitaf\"(Cement Made Tile)","","-","-","-","-","-","-"
"24","CONSTRUCTION MATERIALS","\"Yewellel Nitaf\"(Plastic Made Tile)","","-","-","-","-","-","-"
"25","CONSTRUCTION MATERIALS","Key (With hand)","","-","-","-","-","-","-"
"26","CONSTRUCTION MATERIALS","Door made of iron","","-","-","2900.00","-","-","450.00"
"1","WATER","Water","Meter ","-","-","-","-","20.00","-"
"2","FUEL AND POWER","Fire Wood","Meter ","438.97","-","110.33","-","448.99","-"
