"Regions","CATEGORY","ITEM","UNIT","TIGRAY","TIGRAY","TIGRAY","TIGRAY","TIGRAY","TIGRAY","TIGRAY","TIGRAY","AFAR","AFAR","AFAR","AFAR"
"Markets","CATEGORY","ITEM","UNIT","Enda- silase ","Enda- baguna ","Adwa","Axum","Adigrat","Wukiro","Mai- chew ","Mekelle","Ayisaeta","Dubti","Melka Werers ","Sebat killo "
"9","SPICES","Cinnamon(Imported)","Kg ","-","-","-","-","89.63","-","-","116.57","120.00","-","83.20","80.00"
"10","SPICES","Cardamon(Local)","Kg ","116.57","118.31","82.64","114.93","120.00","120.00","86.53","116.57","120.00","120.00","83.20","113.24"
"11","SPICES","Tumeric Flour(Local)","Kg ","53.28","40.00","18.64","21.63","27.95","22.24","20.00","30.00","30.00","20.00","15.94","-"
"12","SPICES","Chillies Whole","Kg ","69.68","69.86","-","45.00","-","-","-","-","60.00","-","40.00","37.33"
"13","SPICES","Basil Dry","Kg ","52.71","41.76","-","30.10","28.00","73.88","53.94","73.19","60.00","-","33.25","34.32"
"14","POTATOES, OTHER TUBERS AND STEMS","Potato","Kg ","8.00","10.00","7.65","10.00","7.65","7.65","12.00","7.00","7.65","10.00","12.93","5.31"
"15","POTATOES, OTHER TUBERS AND STEMS","Sweet Potato","Kg ","-","-","-","-","-","-","-","-","7.00","-","-","8.11"
"16","POTATOES, OTHER TUBERS AND STEMS","'Kocho' (Unprocessed)","Kg ","-","-","-","-","-","-","-","-","-","-","-","-"
"17","POTATOES, OTHER TUBERS AND STEMS","'Bula'","Kg ","-","-","-","-","-","-","-","-","-","-","-","27.39"
"18","POTATOES, OTHER TUBERS AND STEMS","Tea Leaves(Local)","100gm ","12.66","8.00","12.00","11.25","8.00","8.32","10.00","8.00","8.00","11.25","10.82","9.65"
"19","POTATOES, OTHER TUBERS AND STEMS","Coffee Whole","Kg ","-","33.32","-","-","-","-","-","-","-","-","-","-"
"20","POTATOES, OTHER TUBERS AND STEMS","Coffee Beans","Kg ","81.63","96.55","80.00","100.00","103.23","90.00","88.30","100.00","70.00","80.00","71.63","68.66"
"21","POTATOES, OTHER TUBERS AND STEMS","Coffee Leaves","Kg ","-","-","-","-","-","-","-","-","-","-","9.37","13.80"
"22","POTATOES, OTHER TUBERS AND STEMS","Buck Thorn Leaves","Kg ","47.40","45.58","34.66","35.00","26.99","40.00","18.09","40.00","-","-","28.85","20.15"
"23","POTATOES, OTHER TUBERS AND STEMS","'Chat'","Kg ","166.41","180.00","260.00","329.85","300.00","-","-","260.00","109.12","120.00","53.64","59.94"
"1","P R I C E   I N    B I R R","Malt-Barley","Kg ","23.83","14.29","16.22","10.72","13.23","25.82","13.39","17.86","60.00","-","14.66","10.00"
"2","P R I C E   I N    B I R R","Malt-Wheat","Kg ","-","-","-","-","-","30.00","16.78","-","-","-","15.00","11.00"
"3","OTHER FOOD ITEMS","Salt","Kg ","5.00","5.00","5.00","5.00","5.00","5.00","4.78","6.00","4.00","4.64","5.00","4.31"
"4","OTHER FOOD ITEMS","Sugar","Kg ","16.00","16.00","16.00","16.00","15.42","15.33","15.35","16.00","20.00","21.31","20.65","21.33"
"5","OTHER FOOD ITEMS","Honey","Kg ","88.30","84.90","89.91","76.63","138.31","96.55","100.00","121.64","84.85","93.22","60.00","60.00"
"6","OTHER FOOD ITEMS","Canned Tomato (Local)","410gm ","27.59","-","-","20.74","19.61","23.29","-","19.29","-","21.71","-","21.71"
"7","OTHER FOOD ITEMS","Dry Yeast(Baking powder)","350gm ","-","-","87.50","87.50","-","105.00","-","87.50","-","70.00","70.00","87.50"
"8","FOOD TAKEN AWAY FROM HOME","Cup of Tea","No ","3.00","2.00","2.00","1.00","2.00","2.00","1.58","2.66","1.50","2.00","1.26","2.00"
"9","FOOD TAKEN AWAY FROM HOME","Cup of Coffee","No ","6.00","4.00","3.50","4.31","4.00","4.00","4.48","4.16","3.00","4.00","3.00","3.00"
"10","FOOD TAKEN AWAY FROM HOME","Cup of Milk","No ","6.00","4.00","6.00","4.64","4.00","4.31","4.66","5.00","5.00","5.00","4.00","5.31"
"11","FOOD TAKEN AWAY FROM HOME","'Key Wot Yebere'","One Meal ","-","-","-","28.00","-","-","25.00","25.50","-","-","26.57","-"
